Film ,Major Studio,Rotten Tomatoes,Audience Score,Genre,Number of Theatres,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Market Profitability,Opening Weekend,Imdb Rating,Release Date,Director,Poster
Happily N'Ever After,Lionsgate,4,43,Animation,2381,15.59,22.5,38.09,47,81.0300%,6.6,4.5,"Jan 5, 2007",Paul Bolger: Yvette Kaplan,http://ia.media-imdb.com/images/M/MV5BNzA3MTA0Mjk1M15BMl5BanBnXkFtZTcwNTE0NTQ0MQ@@._V1_SX300.jpg
Stomp the Yard,Independent,27,83,Musical,2051,61.36,14.15,75.51,14,539.3600%,21.9,5.2,"Jan 12, 2007",Sylvain White,http://ia.media-imdb.com/images/M/MV5BMTU5NDA4NDE2Ml5BMl5BanBnXkFtZTcwNDMxMDIzMw@@._V1_SX300.jpg
Epic Movie,Independent,2,38,Comedy,2801,39.74,47.13,86.87,20,434.3300%,18.6,2.3,"Jan 26, 2007",Jason Friedberg: Aaron Seltzer,http://ia.media-imdb.com/images/M/MV5BMTA3NDM5ODU3NzleQTJeQWpwZ15BbWU3MDgyMjgyNDE@._V1_SX300.jpg
Smokin' Aces,Universal,27,64,Action,2218,35.79,21.32,57.1,17,335.900%,14.6,6.7,"Jan 26, 2007",Joe Carnahan,http://ia.media-imdb.com/images/M/MV5BMTI3NzQwNDEyN15BMl5BanBnXkFtZTcwMDY4ODQ0MQ@@._V1_SX300.jpg
Norbit,Paramount,9,56,Comedy,3136,95.67,63.64,159.31,60,265.5200%,34.2,3.9,"Feb 9, 2007",Brian Robbins,http://ia.media-imdb.com/images/M/MV5BMTI4NDE4MjgyNV5BMl5BanBnXkFtZTcwMTQwODc0MQ@@._V1_SX300.jpg
Ghost Rider,Sony,28,56,Action,3619,115.8,112.94,228.74,110,207.9400%,45.3,5.2,"Feb 16, 2007",Mark Steven Johnson,http://ia.media-imdb.com/images/M/MV5BMzIyNDE5ODI1OV5BMl5BanBnXkFtZTcwNTIyNDE0MQ@@._V1_SX300.jpg
Wild Hogs,Disney,14,72,Comedy,3287,168.27,85.35,253.62,90,281.800%,39.7,5.9,"Mar 2, 2007",Walt Becker,http://ia.media-imdb.com/images/M/MV5BMTQ4MTE5MjY5OV5BMl5BanBnXkFtZTcwNDEwMzUzMw@@._V1_SX300.jpg
Zodiac,Paramount,89,73,Thriller,2362,33.08,51.71,84.79,65,130.4400%,13.4,7.7,"Mar 2, 2007",David Fincher,http://ia.media-imdb.com/images/M/MV5BMTQxNjc2NzAwNF5BMl5BanBnXkFtZTcwMDg3NzMzMw@@._V1_SX300.jpg
300,Warner Bros.,60,90,Action,3103,210.61,245.45,456.07,65,701.6400%,70.9,7.8,"Mar 9, 2007",Zack Snyder,http://ia.media-imdb.com/images/M/MV5BMjAzNTkzNjcxNl5BMl5BanBnXkFtZTYwNDA4NjE3._V1_SX300.jpg
Premonition,Sony,8,55,Drama,2831,47.85,36.29,84.15,20,420.7300%,17.6,5.9,"Mar 16, 2007",Mennan Yapo,http://ia.media-imdb.com/images/M/MV5BMTY1MDU1MzAwOV5BMl5BanBnXkFtZTYwMDkzNzY3._V1_SX300.jpg
TMNT,Imagi Animation Studios,33,63,Action,3110,54.15,41.46,95.61,35,273.1700%,24.3,6.4,"Mar 23, 2007",Kevin Munroe,http://ia.media-imdb.com/images/M/MV5BMjE1MzcwNTE5OV5BMl5BanBnXkFtZTcwMTIxNzQ0MQ@@._V1_SX300.jpg
Shooter,Paramount,47,82,Action,2806,47,48.69,95.7,61,156.8800%,14.5,7.2,"Mar 23, 2007",Antoine Fuqua,http://ia.media-imdb.com/images/M/MV5BMjA1NTU0Mzk4OF5BMl5BanBnXkFtZTcwNTc4MTY0MQ@@._V1_SX300.jpg
Blades of Glory,Paramount,69,66,Comedy,3372,118.59,27.11,145.71,61,238.8700%,33,6.3,"Mar 30, 2007",Josh Gordon: Will Speck,http://ia.media-imdb.com/images/M/MV5BMTY3MDMyMTYxMl5BMl5BanBnXkFtZTcwMjk0NzI0MQ@@._V1_SX300.jpg
Meet the Robinsons,Disney,66,75,Animation,3413,97.82,71.51,169.33,100,169.3300%,25.1,6.9,"Mar 30, 2007",Stephen J. Anderson,http://ia.media-imdb.com/images/M/MV5BMTg0NTU4MDY5OV5BMl5BanBnXkFtZTcwMzY0MjM0MQ@@._V1_SX300.jpg
Grindhouse,The Weinstein Company,82,86,Action,2624,25.04,0.38,25.42,53,47.9600%,11.6,7.7,"Apr 6, 2007",Robert Rodriguez: Eli Roth: Quentin Tarantino: Edgar Wright: Rob Zombie,http://ia.media-imdb.com/images/M/MV5BMjA0MzExNzc3MV5BMl5BanBnXkFtZTcwODAxMzM0MQ@@._V1_SX300.jpg
Disturbia,Paramount,67,75,Thriller,2925,80.21,37.55,117.76,20,588.7900%,22.2,6.9,"Apr 13, 2007",D.J. Caruso,http://ia.media-imdb.com/images/M/MV5BMTMyNTIxOTQ3M15BMl5BanBnXkFtZTcwMjU2NzAzMw@@._V1_SX300.jpg
Pathfinder: Legend of the Ghost Warrior,20th Century Fox,11,41,Action,1720,10.23,20.59,30.82,26,118.5500%,5,5.4,"Apr 13, 2007",Marcus Nispel,NoData
